397,"SELECT # + cast (p.objId as varchar (#) ) + # + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID"
2019-03-19 12:25:00,1
2019-04-01 17:30:00,1
2019-04-01 17:41:00,1
2019-04-11 00:34:00,1
2019-04-11 00:50:00,1
2019-04-14 16:52:00,1
2019-04-22 14:59:00,1
2019-04-22 16:23:00,1
2019-05-06 14:41:00,1
2019-05-06 15:00:00,1
2019-05-06 15:25:00,1
2019-06-18 21:03:00,2
2019-06-26 16:23:00,1
2019-11-06 01:59:00,1
2019-11-06 02:15:00,1
2019-11-07 02:05:00,1
2019-11-19 01:09:00,1
2019-11-19 01:10:00,1
2019-11-20 01:30:00,1
2019-11-20 01:32:00,1
2019-11-20 02:35:00,1
2019-11-20 02:38:00,1
2019-11-20 02:40:00,1
2019-11-20 02:49:00,1
2019-11-20 02:50:00,1
2019-11-20 02:51:00,1
2019-11-20 02:54:00,1
2019-11-20 02:56:00,1
2019-11-20 02:58:00,1
2019-11-20 03:01:00,1
2019-11-20 03:04:00,1
2019-11-21 01:48:00,1
2019-11-21 01:49:00,3
2019-11-21 01:52:00,2
2019-11-21 01:53:00,1
2019-11-21 01:54:00,1
2019-11-21 01:56:00,4
2019-11-21 01:57:00,2
2019-11-21 01:58:00,4
2019-11-21 01:59:00,1
2019-11-21 02:00:00,3
2019-11-21 02:09:00,2
2019-11-21 02:10:00,2
2019-11-21 02:33:00,1
2019-11-21 02:39:00,1
2019-11-21 02:46:00,4
2019-11-21 02:47:00,2
2019-11-21 02:48:00,1
2019-11-21 02:50:00,1
2019-11-21 02:53:00,2
2019-11-21 02:54:00,2
2019-11-21 21:28:00,1
2019-11-21 21:32:00,1
2019-11-21 21:33:00,1
2019-11-22 01:13:00,3
2019-11-26 20:03:00,1
2019-11-26 22:16:00,1
2019-11-26 22:18:00,2
2019-11-26 22:20:00,1
2019-11-26 22:21:00,1
2019-11-26 22:23:00,1
2019-11-26 22:24:00,2
2019-11-26 22:25:00,1
2019-11-26 22:28:00,1
2019-11-26 22:30:00,1
2019-11-29 07:51:00,1
2019-11-29 07:53:00,1
2019-11-29 07:58:00,1
2019-11-29 08:52:00,1
2019-11-29 08:56:00,1
2019-11-29 08:57:00,3
2019-11-29 09:02:00,1
2019-11-29 09:41:00,1
2019-11-29 10:10:00,1
2019-12-01 00:35:00,1
2019-12-01 00:36:00,1
2019-12-01 00:37:00,4
2019-12-01 00:40:00,2
2019-12-01 00:42:00,1
2019-12-01 00:44:00,1
2019-12-01 00:49:00,2
2019-12-01 00:52:00,1
2019-12-01 00:54:00,2
2019-12-01 00:58:00,1
2019-12-01 00:59:00,5
2019-12-01 01:35:00,1
2019-12-01 05:25:00,2
2019-12-01 05:29:00,1
2019-12-01 08:32:00,1
2019-12-01 08:33:00,2
2019-12-01 08:34:00,1
2019-12-01 08:35:00,1
2019-12-01 20:36:00,1
2019-12-01 20:39:00,1
2019-12-01 21:36:00,1
2019-12-01 21:41:00,1
2019-12-01 21:42:00,1
2019-12-01 21:43:00,1
2019-12-01 21:46:00,1
2019-12-01 21:49:00,1
2019-12-02 06:07:00,1
2019-12-02 16:38:00,1
2019-12-02 16:40:00,1
2019-12-02 16:41:00,1
2019-12-02 16:42:00,1
2019-12-02 16:44:00,1
2019-12-02 16:47:00,1
2019-12-02 16:48:00,1
2019-12-02 18:06:00,3
2019-12-02 18:09:00,1
2019-12-02 18:18:00,1
2019-12-02 18:26:00,3
2019-12-02 21:27:00,1
2019-12-02 22:58:00,1
2019-12-02 22:59:00,2
2019-12-02 23:00:00,1
2019-12-03 01:39:00,2
2019-12-03 01:43:00,1
2019-12-03 01:45:00,1
2019-12-03 01:48:00,1
2019-12-03 02:50:00,1
2019-12-03 02:51:00,1
2019-12-03 02:53:00,1
2019-12-03 03:24:00,2
2019-12-03 03:25:00,2
2019-12-03 03:26:00,3
2019-12-03 03:56:00,1
2019-12-03 03:57:00,1
2019-12-03 03:58:00,1
2019-12-03 16:55:00,1
2019-12-03 17:02:00,1
2019-12-03 17:05:00,2
2019-12-03 17:11:00,1
2019-12-03 17:13:00,1
2019-12-03 17:14:00,1
2019-12-03 17:51:00,1
2019-12-03 17:52:00,1
2019-12-03 17:54:00,3
2019-12-03 17:55:00,3
2019-12-03 17:56:00,4
2019-12-03 17:57:00,7
2019-12-03 17:59:00,1
2019-12-03 18:00:00,1
2019-12-03 18:01:00,2
2019-12-03 18:03:00,3
2019-12-03 18:04:00,1
2019-12-03 18:06:00,1
2019-12-03 18:07:00,1
2019-12-03 18:08:00,1
2019-12-03 18:09:00,2
2019-12-03 18:10:00,1
2019-12-03 18:11:00,2
2019-12-03 18:12:00,1
2019-12-03 18:13:00,1
2019-12-03 18:14:00,1
2019-12-03 20:17:00,1
2019-12-03 20:18:00,1
2019-12-03 20:19:00,1
