24,SELECT * FROM MyTable2#
2019-01-05 13:03:00,1
2019-03-14 19:27:00,1
2019-03-14 19:33:00,1
2019-03-14 22:06:00,1
2019-03-14 22:16:00,1
2019-03-14 22:20:00,1
2019-03-14 22:25:00,1
2019-04-12 00:22:00,1
2019-04-16 14:52:00,1
2019-04-16 15:03:00,1
2019-04-16 16:31:00,1
2019-04-16 16:38:00,1
2019-04-16 16:56:00,1
2019-04-16 17:02:00,1
2019-04-16 17:07:00,1
2019-04-16 17:18:00,1
2019-04-16 18:21:00,1
2019-12-18 00:01:00,1
2019-12-18 00:08:00,1
2019-12-18 00:15:00,1
2019-12-18 00:21:00,1
2019-12-18 00:26:00,1
2019-12-18 00:32:00,1
2019-12-18 00:40:00,1
