11,"select PhotoObj.modelMag_u, PhotoObj.modelMag_g, PhotoObj.modelMag_r, PhotoObj.modelMag_i, PhotoObj.modelMag_z, specObj.z from photoObj, specObj where specObj.bestObjid = PhotoObj.ObjID and class = # and specObj.zWarning = # and specobj.z between # and #"
2019-02-20 20:39:00,1
2019-02-20 21:27:00,1
2019-03-06 22:08:00,1
2019-03-06 22:18:00,1
2019-03-06 22:23:00,1
2019-03-06 22:34:00,1
2019-03-06 22:36:00,1
2019-03-06 22:40:00,1
2019-03-06 22:41:00,1
2019-03-06 22:43:00,1
2019-03-06 22:45:00,1
