24,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid into mydb.MyTable from PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-01-23 07:41:00,1
2019-01-23 07:42:00,1
2019-01-24 02:40:00,1
2019-02-09 16:51:00,2
2019-02-09 16:54:00,1
2019-02-09 16:55:00,1
2019-02-09 17:03:00,1
2019-03-27 12:42:00,1
2019-03-27 13:52:00,1
2019-03-29 14:20:00,1
2019-03-29 14:35:00,1
2019-03-29 16:21:00,1
2019-05-08 05:07:00,1
2019-05-08 05:08:00,1
2019-05-30 13:10:00,2
2019-05-30 13:12:00,1
2019-10-02 14:27:00,1
2019-10-05 12:06:00,1
2019-10-05 12:11:00,1
2019-10-05 12:13:00,1
2019-11-18 07:24:00,1
2019-11-18 07:27:00,1
