235,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID JOIN PhotoObj AS p ON s.bestobjid = p.objid WHERE p.u > # AND p.u < # AND s.zWarning = #"
2019-01-01 02:02:00,1
2019-01-01 10:50:00,1
2019-01-01 21:15:00,1
2019-01-02 02:34:00,1
2019-01-04 21:36:00,1
2019-01-07 23:37:00,1
2019-01-08 03:34:00,1
2019-01-08 05:02:00,1
2019-01-08 07:25:00,1
2019-01-10 03:00:00,1
2019-01-13 10:36:00,1
2019-01-17 06:41:00,1
2019-01-23 20:58:00,1
2019-01-24 14:30:00,1
2019-01-27 04:00:00,1
2019-01-27 23:40:00,1
2019-01-30 23:01:00,1
2019-01-31 04:21:00,1
2019-01-31 07:40:00,1
2019-02-05 01:22:00,1
2019-02-06 10:54:00,1
2019-02-08 02:38:00,1
2019-02-08 16:37:00,1
2019-02-10 06:02:00,1
2019-02-12 20:22:00,1
2019-02-14 11:53:00,1
2019-02-17 09:28:00,1
2019-02-17 20:07:00,1
2019-02-17 22:15:00,1
2019-02-26 03:37:00,1
2019-02-28 04:45:00,1
2019-02-28 09:22:00,1
2019-02-28 18:47:00,1
2019-02-28 19:33:00,1
2019-03-01 08:35:00,1
2019-03-01 19:52:00,1
2019-03-01 22:27:00,1
2019-03-03 04:04:00,1
2019-03-03 13:17:00,1
2019-03-07 14:52:00,1
2019-03-08 22:57:00,1
2019-03-08 23:04:00,1
2019-03-09 02:02:00,1
2019-03-09 12:58:00,1
2019-03-10 04:28:00,1
2019-03-11 17:32:00,1
2019-03-12 13:49:00,1
2019-03-15 10:00:00,1
2019-03-17 01:57:00,1
2019-03-21 01:05:00,1
2019-03-24 03:23:00,1
2019-03-24 22:17:00,1
2019-03-25 03:05:00,1
2019-03-26 11:56:00,1
2019-03-29 05:43:00,1
2019-04-01 18:30:00,1
2019-04-05 09:02:00,1
2019-04-07 19:59:00,1
2019-04-09 00:34:00,1
2019-04-09 09:26:00,1
2019-04-09 21:24:00,1
2019-04-14 13:55:00,1
2019-04-18 10:49:00,1
2019-04-18 11:14:00,1
2019-04-18 22:00:00,1
2019-04-20 16:47:00,1
2019-04-20 20:06:00,1
2019-04-22 20:31:00,1
2019-04-23 00:18:00,1
2019-04-23 00:42:00,1
2019-04-23 15:38:00,1
2019-04-24 08:44:00,1
2019-04-27 09:32:00,1
2019-04-28 02:31:00,1
2019-04-28 04:19:00,1
2019-04-30 11:16:00,1
2019-04-30 12:18:00,1
2019-05-02 23:58:00,1
2019-05-03 14:51:00,1
2019-05-11 05:56:00,1
2019-05-13 06:04:00,1
2019-05-13 06:46:00,1
2019-05-13 06:58:00,1
2019-05-13 09:36:00,1
2019-05-13 12:21:00,1
2019-05-14 13:36:00,1
2019-05-17 05:36:00,1
2019-05-17 05:40:00,1
2019-05-21 07:33:00,1
2019-05-21 20:22:00,1
2019-05-24 00:14:00,1
2019-05-24 01:03:00,1
2019-05-24 09:00:00,1
2019-05-25 00:16:00,1
2019-05-25 00:49:00,1
2019-05-25 08:08:00,1
2019-05-29 16:57:00,1
2019-05-30 08:29:00,1
2019-05-30 18:29:00,1
2019-06-02 02:44:00,1
2019-06-02 22:20:00,1
2019-06-03 11:58:00,1
2019-06-05 21:53:00,1
2019-06-15 00:50:00,1
2019-06-17 19:40:00,1
2019-06-18 21:09:00,1
2019-06-20 10:42:00,1
2019-06-21 07:25:00,1
2019-06-25 20:54:00,1
2019-06-27 03:48:00,1
2019-06-27 17:06:00,1
2019-06-28 18:26:00,1
2019-06-28 21:08:00,1
2019-07-01 04:32:00,1
2019-07-02 08:36:00,1
2019-07-02 19:39:00,1
2019-07-02 23:54:00,1
2019-07-03 10:47:00,1
2019-07-04 13:51:00,1
2019-07-05 22:56:00,1
2019-07-06 02:42:00,1
2019-07-07 03:10:00,1
2019-07-10 15:12:00,1
2019-07-11 20:48:00,1
2019-07-14 02:46:00,1
2019-07-17 14:55:00,1
2019-07-17 20:19:00,1
2019-07-18 03:47:00,1
2019-07-20 05:43:00,1
2019-07-20 18:59:00,1
2019-07-22 05:40:00,1
2019-07-23 16:14:00,1
2019-07-25 23:14:00,1
2019-07-27 07:23:00,1
2019-07-31 12:38:00,1
2019-08-04 15:44:00,1
2019-08-05 13:31:00,1
2019-08-05 13:33:00,1
2019-08-08 10:03:00,1
2019-08-11 01:34:00,1
2019-08-12 04:11:00,1
2019-08-12 09:37:00,1
2019-08-12 19:34:00,1
2019-08-13 00:23:00,1
