2,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, p.petroRad_r, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND g-i BETWEEN # AND # AND g BETWEEN # AND # AND i BETWEEN # and #"
2019-03-28 08:41:00,1
2019-03-28 08:45:00,1
