43,"SELECT name, DR1#_PLUG_RA AS RA, DR1#_PLUG_DEC AS DEC, MJD, redshift, CLASS_BEST, CONF_BEST FROM spiders_quasar WHERE (redshift > # AND redshift < # AND CLASS_BEST = # AND DR1#_ZWARNING = #)"
2019-06-11 22:03:00,3
2019-06-11 22:05:00,3
2019-06-11 22:12:00,4
2019-06-11 22:13:00,1
2019-06-11 23:17:00,1
2019-06-20 17:46:00,1
2019-06-24 19:33:00,1
2019-06-25 21:10:00,1
2019-06-25 21:42:00,1
2019-07-25 16:55:00,1
2019-07-26 21:24:00,1
2019-07-30 18:27:00,1
2019-07-30 20:41:00,1
2019-08-09 20:37:00,1
2019-08-12 21:21:00,1
2019-08-13 16:15:00,1
2019-08-13 17:25:00,1
2019-08-13 18:36:00,1
2019-08-19 19:58:00,1
2019-08-22 22:37:00,1
2019-09-04 23:28:00,1
2019-09-04 23:29:00,1
2019-09-05 21:08:00,1
2019-09-05 21:39:00,1
2019-09-05 21:45:00,1
2019-09-05 22:45:00,1
2019-09-05 22:46:00,1
2019-09-06 15:50:00,1
2019-09-06 17:51:00,1
2019-09-06 19:25:00,1
2019-09-06 19:31:00,1
2019-09-09 16:19:00,1
2019-09-09 22:22:00,1
2019-09-09 22:44:00,1
2019-09-09 22:55:00,1
2019-11-05 08:24:00,1
