27,"SELECT spe.ra, spe.dec, spe.z, spe.subclass FROM SpecObj As spe WHERE spe.ra > # and spe.ra < # AND spe.dec > #and spe.dec < #And spe.class = #"
2019-09-25 04:27:00,1
2019-09-25 05:58:00,1
2019-09-25 06:09:00,1
2019-09-25 06:10:00,1
2019-09-25 06:11:00,1
2019-09-25 06:12:00,1
2019-09-25 09:50:00,1
2019-09-25 09:53:00,1
2019-09-25 11:54:00,1
2019-09-25 12:15:00,1
2019-09-25 12:16:00,1
2019-09-25 12:17:00,1
2019-09-25 12:20:00,1
2019-09-25 12:33:00,1
2019-09-25 12:36:00,1
2019-09-25 12:38:00,1
2019-09-25 12:39:00,1
2019-09-25 12:42:00,1
2019-09-25 12:43:00,1
2019-09-25 12:45:00,2
2019-09-25 12:46:00,2
2019-09-26 13:16:00,1
2019-09-26 13:18:00,1
2019-09-26 13:24:00,1
2019-09-26 13:36:00,1
