29,"SELECT TOP # p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g, p.dered_r, p.dered_i as i, p.g, p.r FROM galaxy AS p WHERE p.g < # and b between # and #"
2019-03-06 18:00:00,1
2019-03-06 18:01:00,1
2019-03-06 18:42:00,1
2019-03-06 18:43:00,1
2019-03-06 18:44:00,1
2019-03-06 18:45:00,1
2019-03-06 18:46:00,3
2019-03-06 18:47:00,1
2019-03-06 18:49:00,2
2019-03-06 18:50:00,2
2019-03-06 18:51:00,1
2019-03-06 18:52:00,1
2019-03-06 18:54:00,2
2019-03-06 18:57:00,10
2019-03-06 19:04:00,1
