44,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r, IS# (s.plate, #) as plate, IS# (s.mjd, #) as mjd, IS# (s.fiberid, #) as fiberid, IS# (s.z, #) as redshift, IS# (s.zErr, #) as redshiftErr, IS# (s.zWarning, #) as zWarning, IS# (s.class, #) as class FROM ..PhotoObj AS p LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-29 02:38:00,1
2019-01-29 05:35:00,1
2019-03-12 18:17:00,1
2019-03-12 18:18:00,1
2019-03-12 18:19:00,1
2019-03-12 18:20:00,1
2019-03-12 18:23:00,1
2019-04-02 09:24:00,1
2019-04-20 05:42:00,1
2019-04-20 05:44:00,1
2019-04-24 02:01:00,2
2019-05-02 20:40:00,1
2019-05-09 15:21:00,1
2019-05-09 15:25:00,1
2019-05-09 15:26:00,1
2019-05-09 20:24:00,1
2019-05-29 22:12:00,1
2019-05-29 22:17:00,1
2019-05-29 22:22:00,1
2019-05-29 22:33:00,1
2019-05-31 20:57:00,1
2019-05-31 21:00:00,1
2019-05-31 21:01:00,1
2019-06-21 12:06:00,1
2019-06-21 12:07:00,1
2019-08-06 19:14:00,1
2019-08-15 10:40:00,1
2019-08-19 20:38:00,1
2019-09-02 11:52:00,1
2019-09-14 07:29:00,2
2019-10-25 22:45:00,1
2019-10-30 13:25:00,2
2019-11-29 17:00:00,1
2019-12-05 15:33:00,1
2019-12-12 16:52:00,1
2019-12-15 08:11:00,2
2019-12-15 08:19:00,1
2019-12-19 10:56:00,1
2019-12-19 10:57:00,2
