5,"select top # p.objid as name, p.ra, p.dec from photoobj p, specobj s where p.objid = s.bestobjid and p.u < # and (s.class = #)"
2019-03-19 08:20:00,1
2019-03-19 08:22:00,3
2019-03-26 08:05:00,1
