1351,"SELECT (htmID / power (#, #) ) as htm_# , avg (ra) as ra, avg (dec) as [dec], count (*) as pop FROM Galaxy WHERE (#*u - #*g - #*i) < # and r < # group by (htmID /power (#, #) )"
2019-01-01 09:02:00,1
2019-01-01 11:06:00,1
2019-01-02 00:14:00,1
2019-01-02 00:44:00,1
2019-01-02 00:59:00,1
2019-01-03 07:50:00,1
2019-01-03 10:07:00,1
2019-01-03 11:08:00,1
2019-01-03 12:06:00,1
2019-01-03 13:45:00,1
2019-01-04 16:22:00,1
2019-01-05 07:27:00,1
2019-01-05 11:52:00,1
2019-01-05 17:12:00,1
2019-01-06 12:36:00,1
2019-01-07 00:03:00,1
2019-01-07 00:05:00,1
2019-01-07 05:34:00,1
2019-01-07 12:28:00,1
2019-01-07 23:27:00,1
2019-01-07 23:57:00,1
2019-01-08 03:06:00,1
2019-01-08 03:09:00,1
2019-01-08 03:14:00,1
2019-01-08 03:23:00,1
2019-01-08 03:26:00,1
2019-01-08 03:40:00,1
2019-01-08 05:27:00,1
2019-01-08 06:23:00,1
2019-01-08 06:24:00,1
2019-01-08 07:26:00,1
2019-01-08 08:37:00,1
2019-01-08 14:54:00,1
2019-01-09 17:44:00,1
2019-01-10 02:13:00,1
2019-01-10 22:00:00,1
2019-01-11 03:21:00,1
2019-01-11 04:39:00,1
2019-01-12 03:02:00,1
2019-01-12 09:45:00,1
2019-01-12 14:30:00,1
2019-01-12 14:32:00,1
2019-01-12 19:21:00,1
2019-01-13 08:28:00,1
2019-01-13 09:04:00,1
2019-01-13 09:42:00,1
2019-01-14 11:16:00,1
2019-01-15 03:43:00,1
2019-01-15 19:01:00,1
2019-01-16 01:50:00,1
2019-01-16 07:28:00,1
2019-01-17 04:31:00,1
2019-01-17 23:20:00,1
2019-01-18 19:38:00,1
2019-01-19 00:12:00,1
2019-01-19 04:36:00,1
2019-01-20 18:30:00,1
2019-01-20 20:12:00,1
2019-01-21 18:25:00,1
2019-01-22 08:15:00,1
2019-01-22 08:21:00,1
2019-01-22 13:10:00,1
2019-01-22 21:38:00,1
2019-01-23 08:57:00,1
2019-01-23 10:10:00,1
2019-01-23 20:40:00,1
2019-01-23 22:20:00,1
2019-01-23 23:24:00,1
2019-01-24 09:22:00,1
