303,"SELECT * FROM aspcapStar p, apogeeStar s WHERE (p.aspcapflag & dbo.fApogeeAspcapFlag (#) ) = # and s.apogee_id = p.apogee_id and p.apogee_id = #"
2019-01-04 11:05:00,2
2019-01-04 20:16:00,2
2019-01-08 10:26:00,4
2019-01-09 08:26:00,2
2019-01-09 08:29:00,2
2019-01-15 15:13:00,2
2019-01-28 13:48:00,2
2019-02-18 22:46:00,2
2019-02-19 10:40:00,2
2019-02-27 14:43:00,2
2019-02-27 14:44:00,2
2019-03-19 10:30:00,4
2019-03-19 10:31:00,2
2019-03-19 10:32:00,2
2019-03-19 10:33:00,4
2019-03-19 14:57:00,2
2019-03-25 14:27:00,2
2019-03-25 16:07:00,2
2019-03-28 14:02:00,2
2019-03-28 14:38:00,2
2019-03-28 14:39:00,2
2019-03-28 14:41:00,2
2019-03-28 14:49:00,2
2019-03-28 14:50:00,2
2019-03-28 15:12:00,2
2019-03-28 15:33:00,2
2019-03-31 18:36:00,2
2019-04-02 08:40:00,2
2019-04-03 07:56:00,2
2019-04-03 07:59:00,2
2019-04-03 08:00:00,4
2019-04-04 14:16:00,4
2019-04-05 14:30:00,2
2019-04-05 14:36:00,2
2019-04-07 12:58:00,2
2019-04-07 13:01:00,2
2019-04-08 09:12:00,2
2019-04-08 09:16:00,2
2019-04-08 09:17:00,2
2019-04-08 09:18:00,2
2019-04-08 13:17:00,2
2019-04-08 18:30:00,2
2019-04-12 12:54:00,2
2019-04-12 12:59:00,2
2019-04-12 13:00:00,2
2019-04-23 13:23:00,2
2019-04-23 13:29:00,2
2019-05-10 07:36:00,2
2019-05-10 07:37:00,2
2019-05-10 07:40:00,2
2019-05-16 14:02:00,2
2019-05-22 05:47:00,2
2019-05-22 05:50:00,2
2019-05-22 05:52:00,2
2019-05-22 05:53:00,2
2019-05-29 15:09:00,1
2019-05-29 15:10:00,1
2019-05-29 15:17:00,2
2019-05-29 15:18:00,2
2019-05-29 15:19:00,2
2019-05-29 15:20:00,4
2019-05-29 15:21:00,2
2019-05-29 15:22:00,4
2019-05-29 15:24:00,2
2019-05-29 15:25:00,2
2019-06-06 10:01:00,2
2019-06-06 10:19:00,2
2019-06-06 14:02:00,2
2019-06-07 13:48:00,2
2019-06-07 14:39:00,2
2019-06-07 14:45:00,2
2019-06-07 15:18:00,2
2019-06-07 15:23:00,2
2019-06-07 15:46:00,2
2019-06-12 08:35:00,2
2019-07-02 00:04:00,1
2019-07-02 00:05:00,1
2019-07-02 00:06:00,2
2019-07-02 00:35:00,2
2019-07-02 17:17:00,2
2019-07-03 11:31:00,2
2019-07-03 14:41:00,2
2019-07-03 14:42:00,4
2019-07-03 14:51:00,4
2019-07-03 14:59:00,2
2019-07-03 15:00:00,2
2019-07-03 15:28:00,4
2019-07-04 14:06:00,2
2019-07-16 22:42:00,2
2019-07-16 22:43:00,2
2019-07-16 22:44:00,2
2019-07-16 22:45:00,2
2019-07-16 22:46:00,2
2019-07-16 23:03:00,2
2019-07-16 23:04:00,2
2019-07-23 15:55:00,2
2019-08-22 11:01:00,2
2019-08-23 00:02:00,2
2019-08-23 00:03:00,2
2019-09-20 19:52:00,2
2019-09-21 07:00:00,2
2019-09-21 07:10:00,2
2019-09-21 09:17:00,2
2019-10-04 13:58:00,2
2019-10-04 14:03:00,2
2019-10-07 10:42:00,2
2019-10-15 09:58:00,2
2019-10-15 10:13:00,2
2019-10-17 09:06:00,2
2019-10-20 18:12:00,2
2019-10-23 10:45:00,2
2019-11-04 11:18:00,2
2019-11-07 08:59:00,2
2019-11-12 14:05:00,2
2019-11-13 08:28:00,2
2019-11-13 13:50:00,2
2019-11-14 09:43:00,2
2019-11-14 10:14:00,2
2019-11-21 10:37:00,2
2019-11-22 10:43:00,2
2019-11-22 17:57:00,2
2019-11-23 10:11:00,2
2019-11-23 15:49:00,2
2019-11-23 17:42:00,2
2019-11-25 11:10:00,2
2019-11-26 17:35:00,1
2019-11-26 17:38:00,2
2019-11-26 17:41:00,6
2019-11-27 13:56:00,2
2019-11-28 21:55:00,2
2019-11-29 08:42:00,2
2019-11-29 10:59:00,2
2019-11-30 17:47:00,2
2019-12-02 12:19:00,2
2019-12-04 14:11:00,2
2019-12-05 21:24:00,2
2019-12-07 10:42:00,2
2019-12-07 10:43:00,2
2019-12-08 20:11:00,2
2019-12-17 12:53:00,2
2019-12-17 14:29:00,2
2019-12-17 14:30:00,2
