813,"SELECT DISTINCT p.Z, s.class, p.ra, p.dec, p.u, p.g, p.r, p.i FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-21 20:39:00,1
2019-02-28 14:42:00,4
2019-02-28 15:03:00,22
2019-02-28 15:04:00,73
2019-02-28 15:08:00,55
2019-02-28 15:09:00,92
2019-02-28 15:10:00,88
2019-02-28 15:11:00,86
2019-02-28 15:12:00,76
2019-02-28 15:13:00,84
2019-02-28 15:14:00,79
2019-02-28 15:15:00,87
2019-02-28 15:16:00,66
