195,"select BlockLot, Neighborhood , Lat = GeogCenter.Lat, Long = GeogCenter.Long, Str = GeogCenter.ToString () , IsVacant, IsDemolished, IsMCC from RealPropertiesExtra where IsVacant = #"
2019-06-10 16:43:00,1
2019-06-10 17:16:00,1
2019-06-10 17:39:00,1
2019-06-10 18:10:00,1
2019-06-10 18:23:00,1
2019-06-10 18:26:00,1
2019-06-10 18:41:00,1
2019-06-10 18:44:00,1
2019-06-10 18:45:00,1
2019-06-10 18:47:00,1
2019-06-10 18:50:00,1
2019-06-10 19:23:00,1
2019-06-11 15:36:00,1
2019-06-11 15:52:00,1
2019-06-11 17:34:00,1
2019-06-11 17:50:00,1
2019-06-12 02:05:00,1
2019-06-18 15:46:00,1
2019-06-18 15:47:00,1
2019-06-18 16:17:00,2
2019-06-18 16:18:00,2
2019-06-18 16:19:00,1
2019-06-18 16:20:00,1
2019-06-18 17:12:00,1
2019-06-18 17:13:00,1
2019-06-19 01:23:00,2
2019-06-19 02:41:00,2
2019-06-19 12:37:00,2
2019-06-19 12:46:00,1
2019-06-19 12:47:00,1
2019-06-19 12:49:00,2
2019-06-19 15:56:00,1
2019-06-19 15:57:00,1
2019-06-19 16:13:00,1
2019-06-19 16:58:00,1
2019-06-19 17:08:00,1
2019-06-19 17:12:00,1
2019-06-19 17:33:00,1
2019-06-19 17:44:00,1
2019-06-19 18:15:00,1
2019-06-19 18:27:00,2
2019-06-19 18:50:00,1
2019-06-19 18:51:00,1
2019-06-19 18:52:00,1
2019-06-19 19:04:00,1
2019-06-20 01:39:00,1
2019-06-20 02:19:00,1
2019-06-20 03:49:00,1
2019-06-20 04:05:00,1
2019-06-20 12:42:00,1
2019-06-20 13:15:00,1
2019-06-20 14:23:00,1
2019-06-20 14:42:00,1
2019-06-20 15:18:00,1
2019-06-20 15:33:00,2
2019-06-20 15:38:00,1
2019-06-20 15:39:00,1
2019-06-20 17:45:00,1
2019-06-20 17:46:00,1
2019-06-20 18:06:00,1
2019-06-20 18:17:00,1
2019-06-20 18:36:00,1
2019-06-20 19:01:00,1
2019-06-20 19:26:00,1
2019-06-20 19:56:00,1
2019-06-21 11:13:00,1
2019-06-24 14:21:00,1
2019-06-24 14:47:00,1
2019-06-24 14:51:00,2
2019-06-25 15:40:00,1
2019-06-25 16:33:00,1
2019-06-25 17:12:00,1
2019-06-25 17:20:00,1
2019-06-25 17:24:00,1
2019-06-25 17:26:00,1
2019-06-25 17:28:00,1
2019-06-25 17:34:00,1
2019-06-25 17:37:00,1
2019-06-25 17:38:00,1
2019-06-25 17:43:00,1
2019-06-25 17:45:00,1
2019-06-25 17:46:00,1
2019-06-26 02:03:00,2
2019-06-26 02:04:00,1
2019-06-26 02:08:00,1
2019-06-26 02:10:00,1
2019-06-26 02:11:00,1
2019-06-26 02:12:00,1
2019-06-26 15:17:00,1
2019-06-30 18:31:00,1
2019-06-30 19:01:00,5
2019-06-30 19:09:00,1
2019-06-30 19:10:00,4
2019-07-05 14:51:00,1
2019-07-05 14:52:00,1
2019-07-05 15:17:00,1
2019-07-05 15:42:00,1
2019-07-05 15:47:00,1
2019-07-05 15:48:00,4
2019-07-05 15:50:00,1
2019-07-07 17:33:00,1
2019-07-07 17:34:00,1
2019-07-07 17:39:00,1
2019-07-07 18:00:00,1
2019-07-07 18:01:00,1
2019-07-07 18:27:00,2
2019-07-07 18:39:00,2
2019-07-07 18:50:00,1
2019-07-07 18:51:00,1
2019-07-08 00:07:00,2
2019-07-08 00:15:00,1
2019-07-08 00:16:00,2
2019-07-08 00:24:00,4
2019-07-08 00:25:00,2
2019-07-08 00:26:00,1
2019-07-08 00:27:00,3
2019-07-08 00:35:00,5
2019-07-08 00:36:00,1
2019-07-08 00:37:00,1
2019-07-08 00:38:00,3
2019-07-08 00:39:00,2
2019-07-08 02:17:00,1
2019-07-08 02:20:00,1
2019-07-08 02:21:00,2
2019-07-08 02:22:00,1
2019-07-08 02:27:00,2
2019-07-08 02:28:00,3
2019-07-08 11:06:00,4
2019-07-09 10:33:00,1
2019-08-16 19:58:00,1
2019-08-20 11:51:00,1
2019-08-20 11:53:00,1
2019-08-20 11:54:00,1
2019-08-20 11:55:00,1
2019-08-20 11:56:00,3
2019-08-20 11:57:00,2
2019-08-20 12:04:00,2
2019-08-20 12:05:00,2
2019-08-20 12:06:00,2
2019-08-20 12:23:00,2
2019-08-20 12:24:00,1
2019-08-20 15:02:00,1
2019-08-20 15:04:00,1
2019-08-20 16:50:00,1
