2,"SELECT s.objid, s.ra, s.dec, g.objid, g.ra, g.dec INTO twowayxmatch FROM XMATCH (MUST EXIST IN SDSSDR7:PhotoObjAll AS s WITH POINT (s.ra, s.dec) MUST EXIST IN MUSE_NVSS AS g WITH POINT (g.ra, g.dec) )"
2019-03-25 11:37:00,1
2019-03-25 11:39:00,1
