1732,"select c.* , n1.x as x1, n1.y as y1 , n2.x as x2, n2.y as y2 from cracks_S1# c , nodes_S1# n1 , nodes_S1# n2 where c.snapnum = # and n1.snapnum = c.snapnum and n1.nodeid = c.node1 and n2.snapnum = c.snapnum and n2.nodeid = c.node2"
2019-01-21 17:08:00,27
2019-01-21 17:09:00,44
2019-01-21 17:10:00,44
2019-01-21 17:11:00,39
2019-01-21 17:12:00,42
2019-01-21 17:13:00,44
2019-01-21 17:14:00,40
2019-01-21 17:15:00,44
2019-01-21 17:16:00,37
2019-01-21 17:17:00,40
2019-01-21 17:18:00,42
2019-01-21 17:19:00,41
2019-01-21 17:20:00,41
2019-01-21 17:21:00,47
2019-01-21 17:22:00,50
2019-01-21 17:23:00,48
2019-01-21 17:24:00,52
2019-01-21 17:25:00,48
2019-01-21 17:26:00,54
2019-01-21 17:27:00,57
2019-01-21 17:28:00,64
2019-01-21 17:29:00,94
2019-01-21 17:30:00,75
2019-01-21 17:31:00,46
2019-01-21 17:32:00,29
2019-01-21 17:33:00,20
2019-01-21 17:34:00,14
2019-01-21 17:35:00,15
2019-01-21 17:36:00,10
2019-01-21 17:37:00,10
2019-01-21 17:38:00,9
2019-01-21 17:39:00,8
2019-01-21 17:40:00,9
2019-01-21 17:41:00,7
2019-01-21 17:42:00,8
2019-01-21 17:43:00,6
2019-01-21 17:44:00,8
2019-01-21 17:45:00,6
2019-01-21 17:46:00,6
2019-01-21 17:47:00,7
2019-01-21 17:48:00,5
2019-01-21 17:49:00,6
2019-01-21 17:50:00,5
2019-01-21 17:51:00,6
2019-01-21 17:52:00,5
2019-01-21 17:53:00,5
2019-01-21 17:54:00,6
2019-01-21 17:55:00,5
2019-01-21 17:56:00,5
2019-01-21 17:57:00,5
2019-01-21 17:58:00,3
2019-01-21 17:59:00,5
2019-01-21 18:00:00,5
2019-01-21 18:01:00,5
2019-01-21 18:02:00,4
2019-01-21 18:03:00,3
2019-01-21 18:04:00,5
2019-01-21 18:05:00,4
2019-01-21 18:06:00,5
2019-01-21 18:07:00,4
2019-01-21 18:08:00,2
2019-01-21 18:34:00,34
2019-01-21 18:35:00,32
2019-01-21 18:36:00,36
2019-01-21 18:37:00,36
2019-01-21 18:38:00,34
2019-01-21 18:39:00,36
2019-01-21 18:40:00,20
2019-01-21 18:41:00,8
2019-01-21 18:42:00,6
2019-01-21 18:43:00,3
2019-01-21 18:44:00,4
2019-01-21 18:45:00,2
2019-01-21 18:46:00,3
2019-01-21 18:47:00,2
2019-01-21 18:48:00,2
2019-01-21 18:49:00,2
2019-01-21 18:50:00,2
2019-01-21 18:51:00,2
2019-01-21 18:52:00,1
2019-01-21 18:53:00,2
2019-01-21 18:54:00,2
2019-01-21 18:55:00,1
2019-01-21 18:56:00,2
2019-01-21 18:57:00,1
2019-01-21 18:58:00,2
2019-01-21 18:59:00,1
2019-01-21 19:00:00,2
2019-01-21 19:01:00,1
2019-01-21 19:02:00,2
2019-01-21 19:03:00,1
2019-01-21 19:04:00,1
2019-01-21 19:05:00,1
2019-01-21 19:06:00,2
2019-01-21 19:07:00,1
2019-01-22 00:01:00,1
2019-01-22 00:03:00,1
2019-01-22 00:05:00,1
2019-01-22 00:08:00,1
2019-01-22 00:10:00,1
2019-01-22 00:12:00,1
2019-01-22 00:15:00,1
2019-01-22 00:17:00,1
2019-01-22 00:20:00,1
2019-01-22 00:22:00,1
2019-01-22 00:25:00,1
2019-01-22 00:27:00,1
2019-01-22 00:30:00,1
2019-01-22 00:33:00,1
2019-01-22 00:36:00,1
