34,"SELECT m.id, n.objid, n.distance, o.petroMag_u-o.extinction_u as u_pmag, o.petroMag_g-o.extinction_g as g_pmag, o.petroMag_r-o.extinction_r as r_pmag, o.petroMag_i-o.extinction_i as i_pmag, o.petroMag_z-o.extinction_z as z_pmag, E_bv = extinction_r/# FROM MyDB.temp AS m OUTER APPLY dbo.fGetNearestObjEq (m.ra, m.dec, #) AS n LEFT JOIN PhotoObj AS o ON n.objid = o.objid JOIN Photoz as h on h.objid = o.objid order by id"
2019-06-06 13:40:00,1
2019-06-06 14:39:00,1
2019-06-06 14:41:00,1
2019-06-06 14:59:00,1
2019-06-06 15:00:00,1
2019-06-06 15:20:00,1
2019-06-06 15:22:00,1
2019-06-14 15:44:00,1
2019-06-14 19:23:00,1
2019-06-14 19:27:00,1
2019-06-14 19:28:00,1
2019-06-14 19:35:00,1
2019-07-18 19:18:00,1
2019-07-18 19:24:00,1
2019-07-18 19:25:00,1
2019-07-18 19:27:00,1
2019-07-18 19:30:00,1
2019-07-18 19:33:00,1
2019-07-19 01:49:00,1
2019-07-19 01:52:00,1
2019-07-19 01:54:00,1
2019-07-19 01:57:00,1
2019-07-19 01:59:00,1
2019-07-20 02:02:00,1
2019-08-01 16:48:00,1
2019-08-01 16:50:00,1
2019-08-01 17:28:00,1
2019-08-01 17:34:00,1
2019-09-03 16:51:00,1
2019-11-20 13:44:00,1
2019-11-20 13:47:00,1
2019-12-13 19:08:00,1
2019-12-14 17:40:00,1
2019-12-14 18:16:00,1
