32,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, pz.absMagU as amu, pz.absMagG as amg, pz.absMagR as amr, pz.absMagI as ami FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN Photoz as pz ON pz.objID = p.objID WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-12-01 17:36:00,1
2019-12-02 11:53:00,1
2019-12-02 12:10:00,1
2019-12-03 12:02:00,1
2019-12-03 12:35:00,1
2019-12-03 12:43:00,4
2019-12-03 12:44:00,1
2019-12-03 12:45:00,3
2019-12-03 12:47:00,3
2019-12-03 12:48:00,3
2019-12-03 12:50:00,3
2019-12-03 12:51:00,4
2019-12-03 12:57:00,2
2019-12-03 16:16:00,1
2019-12-04 10:19:00,1
2019-12-04 10:31:00,1
2019-12-04 10:32:00,1
