13,"SELECT s.objid, s.ra as ra, s.dec as dec, pz.z as photoz, pz.zerr as photozerr, pz.photoErrorClass as photozErrClass, b.distance as proj_sep, s.modelMag_u as umag, s.modelMagErr_u as umagerr, s.modelMag_g as gmag, s.modelMagErr_g as gmagerr, s.modelMag_r as rmag, s.modelMagerr_r as rmagerr, s.type as obj_type FROM BESTDR1#..PhotoObjAll as s JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = S.objID JOIN Photoz as pz ON pz.objid = s.objid WHERE (s.type = # and pz.z > # and pz.z < #)"
2019-03-31 13:39:00,1
2019-03-31 13:41:00,1
2019-03-31 13:56:00,1
2019-03-31 13:57:00,1
2019-03-31 13:58:00,1
2019-03-31 13:59:00,1
2019-03-31 14:17:00,1
2019-03-31 14:18:00,1
2019-03-31 14:19:00,2
2019-03-31 14:21:00,1
2019-03-31 14:22:00,1
2019-03-31 14:23:00,1
