36,"SELECT objID, ra, dec into blueberry from PhotoObj WHERE cModelMag_g> # and cModelMag_g< # and psfMag_g< # and cModelMagErr_g< # and cModelMagErr_r< # and cModelMag_u - cModelMag_g > # and psfMag_u - psfMag_g > # and cModelMag_r - cModelMag_g > # and psfMag_r - psfMag_g > # and cModelMag_r - cModelMag_i < # and psfMag_r - psfMag_i < # and (cModelMag_r - cModelMag_g > # or cModelMag_i - cModelMag_g > #) and (psfMag_r - psfMag_g > # or psfMag_i - psfMag_g > #) and cModelMag_i - cModelMag_g > # and petroR9#_r< # and petroR9#_r> # and petrorad_g< # and (b> # or b< #) and calibStatus_u < =# and calibStatus_g < =# and calibStatus_r < =# and calibStatus_i < =# and clean = # and (flags & #) = #"
2019-02-14 01:36:00,2
2019-02-14 01:38:00,1
2019-02-14 01:40:00,1
2019-02-14 01:45:00,1
2019-02-16 05:20:00,1
2019-02-16 05:21:00,1
2019-02-16 05:33:00,2
2019-02-16 05:35:00,1
2019-02-17 00:03:00,1
2019-02-17 00:06:00,1
2019-02-17 00:10:00,1
2019-02-17 00:11:00,1
2019-02-17 00:23:00,6
2019-02-17 00:24:00,1
2019-02-17 00:29:00,1
2019-02-17 01:12:00,1
2019-02-17 01:13:00,1
2019-02-17 01:28:00,2
2019-02-17 03:42:00,2
2019-02-22 10:15:00,2
2019-11-20 11:27:00,2
2019-11-20 11:44:00,2
2019-11-20 12:29:00,1
2019-11-20 12:36:00,1
