8,"SELECT top # ra, dec, z, spectroFlux_u, spectroFlux_g, spectroFlux_r, spectroFlux_i, spectroFlux_z FROM SpecObj WHERE zWarning = # AND z> # AND class = # AND ra> # AND ra< # ORDER by z"
2019-01-18 09:25:00,5
2019-01-18 14:25:00,1
2019-01-18 14:29:00,1
2019-01-18 14:30:00,1
