2027,"select ssfr, ssfr_min from stellarMassFSPSGranEarlyDust where ra< # and ra> # and dec< # and dec> # and z > # and z < #"
2019-03-11 11:32:00,1
2019-03-11 11:33:00,19
2019-03-11 11:34:00,43
2019-03-11 11:35:00,138
2019-03-11 11:36:00,17
2019-03-11 11:37:00,46
2019-03-11 11:38:00,139
2019-03-11 11:39:00,13
2019-03-11 11:41:00,95
2019-03-11 11:42:00,137
2019-03-11 11:43:00,136
2019-03-11 11:45:00,30
2019-03-11 11:46:00,130
2019-03-11 11:47:00,48
2019-03-11 11:48:00,100
2019-03-11 11:49:00,98
2019-03-11 11:50:00,74
2019-03-11 11:51:00,129
2019-03-11 11:52:00,141
2019-03-11 11:53:00,24
2019-03-12 12:32:00,58
2019-03-12 12:33:00,98
2019-03-12 12:34:00,42
2019-03-12 13:23:00,19
2019-03-12 13:24:00,98
2019-03-12 13:25:00,81
2019-03-12 13:28:00,73
