16,"SELECT TOP # p.apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.m_h FROM apogeeStar p JOIN fGetNearbyApogeeStarEq (#, #, #) n on p.apstar_id = n.apstar_id JOIN aspcapStar a on a.apstar_id = p.apstar_id JOIN apogeeObject as o ON a.apogee_id = o.apogee_id AND o.j between # AND # AND o.h between # AND # AND o.k between # AND #"
2019-06-04 16:17:00,1
2019-11-19 18:37:00,1
2019-11-19 18:48:00,1
2019-11-19 18:49:00,5
2019-12-12 05:54:00,1
2019-12-12 05:56:00,1
2019-12-12 06:00:00,1
2019-12-12 06:01:00,1
2019-12-12 06:06:00,1
2019-12-12 06:08:00,1
2019-12-17 13:52:00,1
2019-12-17 13:54:00,1
