14,"SELECT TOP # g.lgm_tot_p5#, p.devRad_u, p.devRadErr_u, s.z as redshift, p.ra, p.dec, s.class, p.fracDev_u, Z.p_cs_debiased, Z.p_el_debiased, Z.elliptical FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN galSpecExtra AS g ON g.specobjid = s.specobjid JOIN zooSpec AS Z ON Z.specobjid = s.specobjid WHERE s.z BETWEEN # AND # AND g.lgm_tot_p5# > # AND p.devRadErr_u > # AND p.fracDev_u BETWEEN # AND # AND Z.p_el_debiased BETWEEN # AND # AND s.class = #"
2019-12-13 00:03:00,1
2019-12-13 00:11:00,2
2019-12-13 00:14:00,2
2019-12-13 00:15:00,3
2019-12-13 00:16:00,6
