2,"SELECT sp.specobjid, sp.ra, sp.dec, sp.z, sp.class AS cls, sp.psfmag_u-sp.extinction_u AS mag_u, sp.psfmag_g-sp.extinction_g AS mag_g, sp.psfmag_r-sp.extinction_r AS mag_r, sp.psfmag_i-sp.extinction_i AS mag_i, sp.psfmag_z-sp.extinction_z AS mag_z, w.w1mpro AS w1, w.w2mpro AS w2, w.w3mpro AS w3, w.w4mpro AS w4 into mydb.MyTable_All from SpecPhoto AS sp JOIN wise_xmatch AS xm ON sp.objid = xm.sdss_objid JOIN wise_allsky AS w ON xm.wise_cntr = w.cntr WHERE (sp.psfmag_r-sp.extinction_r > # AND sp.zwarning = #)"
2019-10-01 06:50:00,1
2019-10-01 06:52:00,1
