25,"SELECT top # # + cast (p.objId as varchar (#) ) + # + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.r BETWEEN # AND #"
2019-03-13 10:25:00,1
2019-03-13 10:26:00,1
2019-03-13 10:27:00,1
2019-03-13 10:28:00,1
2019-03-13 10:31:00,2
2019-03-13 10:33:00,2
2019-03-13 10:38:00,2
2019-03-13 10:42:00,2
2019-03-13 10:43:00,2
2019-03-13 10:46:00,2
2019-03-13 10:48:00,2
2019-03-13 10:49:00,2
2019-03-13 10:51:00,1
2019-03-13 10:52:00,1
2019-03-21 04:35:00,1
2019-04-11 05:58:00,1
2019-10-01 10:44:00,1
