49,select objid from photoobjall where photoobjall.dec between # and # and photoobjall.ra between .# and .#
2019-03-05 09:25:00,1
2019-03-05 09:34:00,1
2019-03-05 18:07:00,10
2019-03-05 18:28:00,2
2019-03-05 18:30:00,1
2019-03-05 20:06:00,2
2019-03-06 17:36:00,2
2019-03-06 17:37:00,1
2019-03-06 17:38:00,3
2019-03-07 07:21:00,3
2019-03-07 23:06:00,2
2019-03-12 09:40:00,9
2019-03-14 03:33:00,1
2019-03-14 05:03:00,1
2019-03-14 05:31:00,1
2019-03-14 07:29:00,2
2019-03-14 07:51:00,7
