18674,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-01 09:50:00,1
2019-01-01 09:53:00,1
2019-01-01 09:55:00,2
2019-01-01 09:56:00,2
2019-01-01 09:58:00,2
2019-01-01 09:59:00,1
2019-01-01 10:02:00,1
2019-01-01 10:03:00,1
2019-01-01 10:05:00,1
2019-01-01 10:07:00,1
2019-01-01 10:09:00,1
2019-01-01 10:10:00,2
2019-01-01 10:14:00,1
2019-01-01 10:15:00,1
2019-01-01 10:16:00,1
2019-01-01 10:18:00,1
2019-01-01 10:19:00,1
2019-01-01 10:20:00,1
2019-01-01 10:22:00,1
2019-01-01 13:39:00,1
2019-01-01 13:46:00,1
2019-01-01 13:47:00,3
2019-01-01 20:19:00,2
2019-01-01 21:00:00,1
2019-01-02 01:27:00,1
2019-01-02 02:06:00,1
2019-01-02 02:32:00,1
2019-01-02 03:58:00,1
2019-01-02 06:01:00,1
2019-01-02 07:48:00,1
2019-01-02 07:58:00,2
2019-01-02 08:10:00,1
2019-01-02 08:11:00,1
2019-01-02 08:16:00,1
2019-01-02 08:19:00,1
2019-01-02 08:22:00,1
2019-01-02 08:31:00,1
2019-01-02 09:01:00,1
2019-01-02 09:16:00,1
2019-01-02 09:20:00,1
2019-01-02 09:23:00,1
2019-01-02 09:53:00,1
2019-01-02 09:58:00,1
2019-01-02 10:05:00,1
2019-01-02 11:28:00,2
2019-01-02 11:32:00,1
2019-01-02 11:41:00,1
2019-01-02 12:40:00,1
2019-01-02 13:07:00,1
2019-01-02 13:10:00,1
2019-01-02 13:13:00,1
2019-01-02 13:52:00,1
2019-01-02 13:54:00,1
2019-01-02 13:56:00,1
2019-01-02 14:09:00,1
2019-01-02 14:46:00,1
2019-01-02 14:49:00,1
2019-01-02 15:13:00,1
2019-01-02 15:17:00,1
2019-01-02 19:44:00,1
2019-01-02 19:46:00,1
2019-01-02 19:54:00,1
2019-01-02 19:58:00,1
2019-01-02 20:08:00,1
2019-01-02 20:25:00,1
2019-01-02 20:31:00,1
2019-01-02 20:56:00,1
2019-01-02 20:58:00,1
2019-01-02 20:59:00,1
2019-01-02 21:18:00,1
2019-01-02 21:19:00,1
2019-01-03 02:39:00,1
2019-01-03 03:08:00,1
2019-01-03 06:29:00,1
2019-01-03 06:32:00,1
2019-01-03 06:34:00,1
2019-01-03 08:01:00,1
2019-01-03 08:04:00,1
2019-01-03 08:07:00,1
2019-01-03 08:09:00,1
2019-01-03 08:11:00,1
2019-01-03 08:12:00,1
2019-01-03 08:20:00,1
2019-01-03 08:49:00,1
2019-01-03 08:50:00,1
2019-01-03 08:51:00,1
2019-01-03 08:53:00,1
2019-01-03 08:56:00,1
2019-01-03 09:00:00,1
2019-01-03 09:04:00,2
2019-01-03 09:09:00,1
2019-01-03 09:20:00,1
2019-01-03 09:21:00,1
2019-01-03 09:24:00,1
2019-01-03 09:25:00,1
2019-01-03 09:26:00,1
2019-01-03 09:27:00,1
2019-01-03 09:28:00,1
2019-01-03 09:30:00,1
2019-01-03 09:31:00,1
2019-01-03 09:33:00,1
2019-01-03 09:36:00,1
2019-01-03 09:40:00,1
2019-01-03 10:05:00,1
2019-01-03 10:15:00,1
2019-01-03 10:16:00,1
2019-01-03 10:18:00,1
2019-01-03 10:20:00,1
2019-01-03 10:22:00,1
2019-01-03 10:32:00,1
2019-01-03 10:34:00,1
2019-01-03 10:38:00,1
2019-01-03 10:39:00,1
2019-01-03 10:41:00,1
2019-01-03 10:43:00,1
2019-01-03 10:45:00,1
2019-01-03 11:50:00,1
2019-01-03 11:57:00,1
2019-01-03 11:58:00,1
2019-01-03 12:00:00,1
2019-01-03 12:03:00,2
2019-01-03 12:15:00,1
2019-01-03 12:18:00,1
2019-01-03 12:20:00,1
2019-01-03 12:21:00,2
2019-01-03 12:23:00,1
2019-01-03 12:26:00,1
2019-01-03 12:58:00,1
2019-01-03 13:23:00,1
2019-01-03 14:32:00,1
2019-01-03 14:34:00,1
2019-01-03 14:35:00,1
2019-01-03 14:36:00,1
2019-01-03 14:37:00,1
2019-01-03 14:38:00,1
2019-01-03 14:39:00,1
2019-01-03 20:13:00,1
2019-01-03 20:54:00,1
2019-01-03 20:57:00,1
2019-01-04 05:53:00,1
2019-01-04 05:57:00,1
2019-01-04 05:59:00,1
2019-01-04 06:01:00,1
2019-01-04 06:03:00,1
2019-01-04 06:06:00,1
2019-01-04 06:08:00,1
2019-01-04 06:09:00,1
2019-01-04 06:11:00,2
2019-01-04 06:12:00,1
2019-01-04 06:13:00,1
2019-01-04 06:14:00,1
2019-01-04 06:21:00,1
2019-01-04 06:22:00,1
2019-01-04 06:23:00,1
2019-01-04 06:25:00,1
2019-01-04 06:26:00,1
2019-01-04 06:28:00,1
2019-01-04 06:30:00,1
2019-01-04 06:32:00,1
2019-01-04 06:34:00,1
2019-01-04 06:35:00,1
2019-01-04 06:36:00,1
2019-01-04 06:38:00,1
2019-01-04 06:39:00,1
2019-01-04 06:41:00,1
2019-01-04 06:42:00,1
2019-01-04 06:43:00,1
2019-01-04 06:44:00,1
2019-01-04 06:46:00,1
2019-01-04 06:47:00,1
2019-01-04 06:48:00,1
2019-01-04 06:49:00,1
2019-01-04 06:51:00,1
2019-01-04 06:53:00,1
