4,"SELECT top # p.objID, p.psfMag_r, p.r, dbo.fPhotoTypeN (p.Type) as type FROM photoObj p, dbo.fGetNearbyObjEq (#, #, #) n WHERE p.objID = n.objID and p.clean = # and petroMag_r < = #"
2019-01-27 11:06:00,1
2019-01-27 11:13:00,2
2019-01-27 11:24:00,1
