22,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.z > #"
2019-02-04 18:31:00,1
2019-02-05 17:53:00,1
2019-02-05 21:34:00,1
2019-02-05 21:39:00,1
2019-02-08 16:05:00,1
2019-02-08 16:09:00,2
2019-02-08 17:03:00,2
2019-02-08 17:08:00,1
2019-02-08 17:09:00,1
2019-02-08 17:10:00,1
2019-03-01 17:22:00,1
2019-03-13 15:48:00,1
2019-03-22 14:46:00,1
2019-03-22 15:09:00,1
2019-10-01 14:20:00,1
2019-10-01 14:21:00,1
2019-10-01 14:34:00,1
2019-10-01 15:31:00,1
2019-10-04 16:48:00,1
2019-12-27 00:13:00,1
