4,"SELECT TOP # gal.ra, gal.dec FROM galaxy AS gal JOIN specObj AS spec ON gal.objID = spec.bestObjID WHERE spec.z > # and spec.z < # and petroR9#_r/petroR5#_r > # and eclass < # and fracdev_g = #"
2019-09-21 22:59:00,2
2019-09-21 23:00:00,1
2019-09-21 23:03:00,1
