126,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.nMgyPerCount_u, p.nMgyPerCount_g, nMgyPerCount_r, nMgyPerCount_i, nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.type = # AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-01-02 17:10:00,1
2019-01-02 17:13:00,1
2019-01-02 17:21:00,1
2019-01-02 17:25:00,1
2019-01-02 17:43:00,1
2019-01-02 18:24:00,1
2019-01-02 18:50:00,1
2019-01-02 18:54:00,1
2019-01-02 19:03:00,1
2019-01-03 10:55:00,1
2019-01-03 11:00:00,1
2019-01-03 11:02:00,1
2019-01-03 11:08:00,1
2019-01-03 11:17:00,1
2019-01-03 12:06:00,1
2019-01-03 12:12:00,1
2019-01-03 12:13:00,1
2019-01-03 12:14:00,1
2019-01-03 12:17:00,1
2019-01-03 12:22:00,1
2019-01-03 12:27:00,1
2019-01-03 12:33:00,2
2019-01-03 12:36:00,1
2019-01-03 12:42:00,1
2019-01-03 12:58:00,2
2019-01-03 13:44:00,1
2019-01-03 13:46:00,1
2019-01-03 13:47:00,2
2019-01-03 13:48:00,1
2019-01-03 13:49:00,1
2019-01-03 13:56:00,1
2019-01-03 15:44:00,1
2019-01-03 15:45:00,1
2019-01-03 15:48:00,1
2019-01-03 15:59:00,1
2019-01-03 16:21:00,1
2019-01-03 16:36:00,1
2019-01-03 16:50:00,1
2019-01-03 17:14:00,1
2019-01-03 17:33:00,1
2019-01-03 17:35:00,1
2019-01-03 17:52:00,1
2019-01-03 18:16:00,1
2019-01-03 18:25:00,1
2019-01-03 18:31:00,1
2019-01-03 18:35:00,1
2019-01-03 18:38:00,1
2019-01-03 18:51:00,1
2019-01-03 18:53:00,1
2019-01-03 18:57:00,1
2019-01-03 19:17:00,1
2019-01-03 21:20:00,1
2019-01-03 21:40:00,1
2019-01-03 22:18:00,1
2019-01-03 23:01:00,1
2019-01-03 23:09:00,1
2019-01-03 23:17:00,1
2019-01-04 08:47:00,1
2019-01-04 09:39:00,1
2019-01-04 11:19:00,1
2019-01-04 11:46:00,1
2019-01-04 11:56:00,1
2019-01-04 12:00:00,1
2019-01-04 12:03:00,2
2019-01-04 12:27:00,1
2019-01-04 12:41:00,1
2019-01-04 12:42:00,1
2019-01-04 13:40:00,1
2019-01-04 13:41:00,1
2019-01-04 14:00:00,1
2019-01-04 14:16:00,1
2019-01-04 15:12:00,1
2019-01-04 15:29:00,1
2019-01-04 15:45:00,1
2019-01-04 15:51:00,1
2019-01-05 15:40:00,1
2019-01-07 11:01:00,1
2019-01-07 11:28:00,1
2019-01-07 17:24:00,1
2019-01-08 10:32:00,1
2019-01-08 10:46:00,1
2019-01-08 12:03:00,1
2019-01-08 12:32:00,1
2019-01-08 13:18:00,1
2019-01-08 13:29:00,1
2019-01-09 10:45:00,1
2019-01-09 11:44:00,1
2019-01-09 13:42:00,2
2019-01-09 14:10:00,1
2019-01-09 14:19:00,1
2019-01-09 15:39:00,1
2019-01-09 15:54:00,1
2019-01-09 15:58:00,1
2019-01-09 16:02:00,1
2019-01-09 16:03:00,1
2019-01-09 16:19:00,1
2019-01-09 16:38:00,1
2019-01-10 10:12:00,1
2019-01-10 10:14:00,1
2019-01-10 10:25:00,1
2019-01-10 10:29:00,1
2019-01-10 10:53:00,1
2019-01-10 11:00:00,1
2019-01-10 11:03:00,1
2019-01-10 11:07:00,1
2019-01-10 16:20:00,1
2019-01-10 16:28:00,1
2019-01-11 10:54:00,1
2019-01-11 10:55:00,1
2019-01-11 11:03:00,1
2019-01-11 11:06:00,1
2019-01-11 11:07:00,1
2019-01-11 11:14:00,1
2019-01-11 11:20:00,1
2019-01-11 11:21:00,1
2019-01-11 11:35:00,1
2019-01-11 11:36:00,1
2019-01-11 11:37:00,1
2019-01-11 11:38:00,1
2019-01-17 17:00:00,1
2019-01-17 17:02:00,1
