2,"select s.*, b.distance from photoprimary as s join dbo.fgetnearbyobjeq (#, #, #/#) b on s.objid = b.objid where ( (flags & #) ! = #) --and (type = #) -- and (run ! =# and run! =#) AND ( (flags & #) = #) and psfmagerr_g< =# AND ( ((flags & #) = #) or (psfmagerr_r < = # and psfmagerr_i< = # and psfmagerr_g< =#) ) AND ( ((flags & #) = #) or (flags & #) = #)"
2019-09-12 16:22:00,1
2019-09-12 16:24:00,1
