6,"select top # p.objid, p.ra, p.dec, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid"
2019-05-06 21:32:00,1
2019-06-17 03:24:00,1
2019-09-19 15:37:00,2
2019-09-19 15:40:00,1
2019-09-20 01:28:00,1
