19,"select DISTINCT TOP # G.objid, G.ra, G.dec, G.u, G.g, G.r, G.i, G.z, G.fieldID, G.specobjid, S.z, S.veldisp, s.elodieFeH, Z.nvote, Z.spiral, Z.elliptical, Z.uncertain from zooSpec Z join Galaxy G on Z.specObjID = G.specObjID join Frame F on F.fieldID = G.fieldID join SpecObj S on S.specObjID = G.specObjID"
2019-10-27 17:49:00,1
2019-10-27 17:58:00,1
2019-10-27 18:01:00,1
2019-10-27 18:03:00,1
2019-10-27 18:04:00,1
2019-10-27 18:05:00,1
2019-10-27 18:06:00,1
2019-10-27 18:07:00,1
2019-10-27 18:08:00,2
2019-10-27 18:09:00,2
2019-10-27 18:44:00,1
2019-10-27 18:47:00,1
2019-10-27 18:49:00,2
2019-10-27 18:50:00,1
2019-10-27 18:53:00,1
2019-10-27 19:21:00,1
