318,"SELECT p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, d.w1mpro, d.w2mpro, d.w3mpro, d.w4mpro FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID = c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr = d.cntr"
2019-05-09 04:50:00,1
2019-05-09 04:53:00,1
2019-05-09 04:54:00,3
2019-05-09 04:55:00,3
2019-05-09 04:56:00,4
2019-05-09 04:57:00,3
2019-05-09 04:59:00,4
2019-05-09 05:00:00,4
2019-05-09 05:01:00,4
2019-05-09 05:02:00,3
2019-05-09 05:03:00,6
2019-05-09 05:04:00,4
2019-05-09 05:05:00,3
2019-05-09 05:06:00,3
2019-05-09 05:07:00,4
2019-05-09 05:08:00,1
2019-05-09 05:09:00,15
2019-05-09 05:10:00,32
2019-05-09 05:11:00,18
2019-05-09 05:12:00,8
2019-05-09 05:13:00,5
2019-05-09 05:14:00,30
2019-05-09 05:15:00,16
2019-05-09 05:16:00,20
2019-05-09 05:25:00,15
2019-05-09 05:26:00,3
2019-05-09 05:27:00,2
2019-05-09 05:34:00,3
2019-05-09 05:36:00,5
2019-05-09 05:37:00,7
2019-05-09 05:38:00,10
2019-05-09 05:39:00,7
2019-05-09 05:40:00,11
2019-05-09 05:41:00,10
2019-05-09 05:42:00,8
2019-05-09 05:43:00,9
2019-05-09 05:44:00,8
2019-05-09 05:45:00,11
2019-05-09 05:46:00,10
2019-05-09 05:47:00,4
