3,"SELECT s.specobjid, s.class, s.ra, s.dec, s.z as redshift, s.plate, s.mjd, s.fiberid FROM SpecObj AS s WHERE s.plate = #"
2019-04-08 18:36:00,1
2019-04-08 18:42:00,1
2019-04-08 19:28:00,1
