2,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.rdev, p.rExp, p.devmag, p.expmag FROM PhotoObjAll AS p"
2019-05-21 08:17:00,1
2019-05-21 08:18:00,1
