94,select top # * from [SpecObjAll]
2019-01-04 09:55:00,1
2019-01-04 12:10:00,1
2019-01-11 12:46:00,1
2019-01-15 17:03:00,1
2019-02-23 07:43:00,2
2019-02-25 14:38:00,1
2019-02-27 12:45:00,1
2019-02-27 12:50:00,2
2019-03-01 12:30:00,1
2019-03-01 12:36:00,1
2019-03-04 07:58:00,4
2019-03-04 08:25:00,2
2019-03-15 14:50:00,1
2019-04-01 08:39:00,1
2019-04-01 09:03:00,1
2019-04-02 04:00:00,1
2019-04-02 04:19:00,1
2019-04-02 04:20:00,1
2019-04-03 06:10:00,1
2019-04-03 06:14:00,1
2019-04-03 06:16:00,1
2019-04-14 10:11:00,4
2019-04-14 10:12:00,1
2019-04-14 10:15:00,1
2019-04-17 10:05:00,1
2019-04-19 04:39:00,1
2019-04-22 03:16:00,1
2019-05-09 12:31:00,2
2019-05-16 13:50:00,2
2019-05-29 09:56:00,1
2019-06-05 13:26:00,1
2019-06-10 12:03:00,1
2019-06-11 01:55:00,1
2019-06-11 01:58:00,1
2019-06-20 05:26:00,1
2019-06-20 05:44:00,1
2019-07-09 06:54:00,1
2019-07-09 16:16:00,1
2019-07-22 04:44:00,1
2019-07-23 08:28:00,1
2019-08-06 05:51:00,1
2019-08-06 06:34:00,1
2019-08-06 06:35:00,1
2019-08-06 09:31:00,1
2019-08-18 01:56:00,1
2019-08-18 19:22:00,1
2019-08-23 06:55:00,1
2019-08-23 07:27:00,1
2019-08-23 08:31:00,1
2019-09-02 04:46:00,1
2019-09-02 11:34:00,1
2019-09-02 14:45:00,1
2019-09-04 12:36:00,1
2019-09-05 04:43:00,1
2019-09-05 06:04:00,1
2019-09-05 07:44:00,1
2019-09-16 12:44:00,1
2019-09-27 09:18:00,1
2019-09-29 03:58:00,1
2019-09-29 03:59:00,1
2019-10-18 03:21:00,1
2019-10-21 02:46:00,1
2019-10-27 13:25:00,1
2019-10-27 13:49:00,1
2019-10-27 19:21:00,1
2019-10-29 00:17:00,1
2019-11-04 10:27:00,1
2019-11-05 03:49:00,1
2019-11-11 11:28:00,1
2019-11-11 11:31:00,1
2019-11-18 16:30:00,1
2019-11-18 16:53:00,1
2019-11-26 05:10:00,1
2019-11-26 11:53:00,2
2019-12-01 11:41:00,1
2019-12-04 12:19:00,1
2019-12-04 12:20:00,1
2019-12-12 18:27:00,1
2019-12-14 03:01:00,1
2019-12-16 14:36:00,1
2019-12-16 14:41:00,1
2019-12-21 02:44:00,1
