28,"SELECT top # objid, ra, dec, modelmag_r, modelmag_r-#*log1# (#E+#*z) +# as abs_mag_r FROM SpecPhoto WHERE modelmag_r-#*log1# (#E+#*z) +# < #AND z> #"
2019-01-23 00:12:00,1
2019-02-15 12:34:00,1
2019-03-17 14:24:00,1
2019-03-23 01:40:00,1
2019-03-23 06:28:00,1
2019-03-29 17:08:00,1
2019-05-27 18:43:00,1
2019-05-30 02:11:00,1
2019-05-30 02:13:00,1
2019-06-12 05:04:00,1
2019-06-22 01:15:00,1
2019-06-22 01:16:00,1
2019-06-22 01:17:00,2
2019-06-26 07:23:00,1
2019-07-26 15:49:00,1
2019-08-15 12:25:00,1
2019-08-15 13:28:00,1
2019-10-18 12:48:00,1
2019-10-21 03:08:00,1
2019-10-21 03:37:00,1
2019-10-21 22:13:00,1
2019-10-22 16:05:00,1
2019-11-19 12:57:00,1
2019-11-24 12:08:00,1
2019-11-24 12:30:00,1
2019-12-11 20:50:00,1
2019-12-15 08:33:00,1
