2,"SELECT TOP # s.specobjid, s.z as redshift, s.ra, s.dec, p.b, p.l FROM SpecObj AS s JOIN PhotoObj AS p ON p.objid = s.bestobjid WHERE (s.class = #) AND (s.z < #)"
2019-10-15 06:59:00,1
2019-10-15 07:00:00,1
