13,"SELECT s.plate, s.fiberid, s.mjd, ga.oiii_#_flux, ga.oiii_#_flux_err, (sph.dered_g-sph.dered_r) as col_g_r, sph.dered_g-#*log1# (#E+#*sph.z) +# as M_g, sph.petroMag_g, g.petroRad_g FROM GalSpecLine as ga, specobj as s, Galaxy as g, SpecPhoto as sph WHERE ga.oiii_#_flux < #*ga.oiii_#_flux_err AND s.class = # AND s.specobjid = ga.specobjid AND s.specobjid = g.specobjid AND sph.specobjid = g.specobjid AND sph.specobjid = ga.specobjid AND ga.oiii_#_flux_err > # AND g.specobjid > # AND sph.z > # into MyDB.t_#_t"
2019-07-22 07:29:00,1
2019-07-22 07:37:00,1
2019-07-22 07:50:00,1
2019-07-22 08:17:00,1
2019-07-22 08:42:00,1
2019-07-22 09:45:00,1
2019-07-22 11:56:00,1
2019-07-22 12:14:00,1
2019-07-22 12:33:00,1
2019-07-23 02:59:00,1
2019-07-24 05:20:00,1
2019-07-24 05:22:00,1
2019-07-24 08:08:00,1
