3,"select avg (expMag_u) , stdev (expMag_u) , avg (expMag_g) , stdev (expMag_g) , avg (expMag_r) , stdev (expMag_r) , avg (expMag_i) , stdev (expMag_i) , avg (expMag_z) , stdev (expMag_z) , count (petroMag_z) from MyDB.manual_good_ccw, specObjAll, galSpecIndx, PhotoObjAll where ID = specObjAll.bestObjID and specObjAll.specObjID = galSpecIndx.specObjID and PhotoObjAll.objid = ID and expMag_u> # and expMag_g> # and expMag_r> # and expMag_i> # and expMag_z> # and PhotoObjAll.ra> # and PhotoObjAll.ra< # and lick_fe5#< # and lick_fe5#< ># select avg (expMag_u) , stdev (expMag_u) , avg (expMag_g) , stdev (expMag_g) , avg (expMag_r) , stdev (expMag_r) , avg (expMag_i) , stdev (expMag_i) , avg (expMag_z) , stdev (expMag_z) , count (petroMag_z) from MyDB.manual_good_cw, specObjAll, galSpecIndx, PhotoObjAll where ID = specObjAll.bestObjID and specObjAll.specObjID = galSpecIndx.specObjID and PhotoObjAll.objid = ID and expMag_u> # and expMag_g> # and expMag_r> # and expMag_i> # and expMag_z> # and PhotoObjAll.ra> # and PhotoObjAll.ra< # and lick_fe5#< # and lick_fe5#< ># select avg (expMag_u) , stdev (expMag_u) , avg (expMag_g) , stdev (expMag_g) , avg (expMag_r) , stdev (expMag_r) , avg (expMag_i) , stdev (expMag_i) , avg (expMag_z) , stdev (expMag_z) , count (petroMag_z) from MyDB.manual_good_ccw, specObjAll, galSpecIndx, PhotoObjAll where ID = specObjAll.bestObjID and specObjAll.specObjID = galSpecIndx.specObjID and PhotoObjAll.objid = ID and expMag_u> # and expMag_g> # and expMag_r> # and expMag_i> # and expMag_z> # and PhotoObjAll.ra> # and PhotoObjAll.ra< # and lick_fe5#> # and lick_fe5#< ># select avg (expMag_u) , stdev (expMag_u) , avg (expMag_g) , stdev (expMag_g) , avg (expMag_r) , stdev (expMag_r) , avg (expMag_i) , stdev (expMag_i) , avg (expMag_z) , stdev (expMag_z) , count (petroMag_z) from MyDB.manual_good_cw, specObjAll, galSpecIndx, PhotoObjAll where ID = specObjAll.bestObjID and specObjAll.specObjID = galSpecIndx.specObjID and PhotoObjAll.objid = ID and expMag_u> # and expMag_g> # and expMag_r> # and expMag_i> # and expMag_z> # and PhotoObjAll.ra> # and PhotoObjAll.ra< # and lick_fe5#> # and lick_fe5#< >#"
2019-11-10 19:04:00,2
2019-11-10 19:05:00,1
