5,"select p.specobjid, p.ra, p.dec, p.z, p.zerr, p.class from dbo.fGetNearbySpecObjEq (#, #, #) s, specobj p where s.specobjid = p.specobjid and p.zwarning = #"
2019-07-19 04:01:00,1
2019-08-08 12:56:00,1
2019-08-08 12:57:00,3
