15,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.petroR5#_r, p.fracdeV_r, p.deVRad_r, p.expRad_r, fsps.logMass, fsps.age, fsps.metallicity, s.specobjid, s.class, s.z as redshift, pz.z as photoz FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoObj AS p on p.objid = n.objid JOIN SpecObj AS s ON s.bestobjid = n.objid JOIN PhotoZ AS pz ON pz.objid = n.objid JOIN stellarMassFSPSGranWideDust as fsps ON s.specobjid = fsps.specobjid WHERE s.class = GALAXY"
2019-03-12 03:20:00,1
2019-03-12 03:25:00,1
2019-03-12 03:39:00,1
2019-03-12 03:51:00,1
2019-03-12 21:58:00,1
2019-03-12 21:59:00,1
2019-03-12 22:00:00,2
2019-03-12 22:02:00,2
2019-03-13 00:00:00,2
2019-03-13 22:24:00,1
2019-03-27 04:34:00,1
2019-03-27 05:00:00,1
