60,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, n.distance FROM fGetNearbyObjEq (#, #, #) n, PhotoObj AS p WHERE n.objid = p.objid ORDER BY n.distance"
2019-01-28 15:46:00,3
2019-04-28 18:30:00,1
2019-05-31 18:18:00,1
2019-09-13 18:40:00,5
2019-09-13 18:41:00,19
2019-11-04 08:34:00,11
2019-11-04 08:35:00,3
2019-11-16 15:50:00,8
2019-11-23 15:03:00,1
2019-11-23 15:04:00,1
2019-12-02 14:42:00,3
2019-12-02 14:44:00,2
2019-12-02 15:25:00,2
