2,"SELECT round (ra, #) , round (dec, #) , elodieSpType, elodieZ, elodieZErr into mydb.sdss1#spectra from specObjAll where class = # and elodieSpType < > # and elodieSpType< ># order by ra"
2019-12-16 14:42:00,1
2019-12-16 14:43:00,1
