32,select fieldid from field where a_g between -.# and .# and skyframes_g between # and #
2019-01-24 13:28:00,1
2019-01-24 13:32:00,3
2019-01-24 17:09:00,1
2019-01-25 08:11:00,2
2019-01-28 18:19:00,2
2019-01-28 18:20:00,1
2019-01-28 18:37:00,6
2019-02-26 11:10:00,1
2019-02-26 13:25:00,11
2019-02-26 13:26:00,3
2019-02-26 13:45:00,1
