505,"SELECT p.ObjID, p.ra, p.dec, n.distance, p.modelMag_u, p.modelMagErr_u, p.modelMag_g, p.modelMagErr_g, p.modelMag_r, p.modelMagErr_r, p.modelMag_i, p.modelMagErr_i, p.modelMag_z, p.modelMagErr_z, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, p.type INTO MyDB.MyTable0 FROM PhotoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = p.objID"
2019-06-12 15:34:00,3
2019-07-11 17:07:00,1
2019-08-02 11:33:00,4
2019-08-02 11:34:00,6
2019-08-02 11:35:00,5
2019-08-02 11:36:00,6
2019-08-02 11:37:00,5
2019-08-02 11:38:00,2
2019-08-05 15:05:00,1
2019-08-05 15:06:00,2
2019-08-05 15:07:00,1
2019-08-05 15:27:00,6
2019-08-05 15:28:00,6
2019-08-05 15:29:00,6
2019-08-05 15:30:00,6
2019-08-05 15:31:00,4
2019-08-05 15:32:00,6
2019-08-05 15:33:00,6
2019-08-05 15:34:00,6
2019-08-05 15:35:00,6
2019-08-05 15:36:00,6
2019-08-05 15:37:00,5
2019-08-05 15:38:00,5
2019-08-05 15:39:00,6
2019-08-05 15:40:00,6
2019-08-05 15:41:00,6
2019-08-05 15:42:00,6
2019-08-05 15:43:00,6
2019-08-05 15:44:00,6
2019-08-05 15:45:00,5
2019-08-05 15:46:00,6
2019-08-05 15:47:00,6
2019-08-05 15:48:00,6
2019-08-05 15:49:00,6
2019-08-05 15:50:00,6
2019-08-05 15:51:00,6
2019-08-05 15:52:00,6
2019-08-05 15:53:00,6
2019-08-05 15:54:00,6
2019-08-05 15:55:00,6
2019-08-05 15:56:00,6
2019-08-05 15:57:00,5
2019-08-05 15:58:00,5
2019-08-05 15:59:00,6
2019-08-05 16:00:00,6
2019-08-05 16:01:00,6
2019-08-05 16:02:00,5
2019-08-05 16:03:00,6
2019-08-05 16:04:00,6
2019-08-05 16:05:00,6
2019-08-05 16:06:00,6
2019-08-05 16:07:00,5
2019-08-05 16:08:00,6
2019-08-05 16:09:00,6
2019-08-05 16:10:00,6
2019-08-05 16:11:00,6
2019-08-05 16:12:00,6
2019-08-05 16:13:00,6
2019-08-05 16:14:00,5
2019-08-05 16:15:00,6
2019-08-05 16:16:00,5
2019-08-05 16:17:00,6
2019-08-05 16:18:00,6
2019-08-05 16:19:00,6
2019-08-05 16:20:00,6
2019-08-05 16:21:00,6
2019-08-05 16:22:00,6
2019-08-05 16:23:00,6
2019-08-05 16:24:00,6
2019-08-05 16:25:00,6
2019-08-05 16:26:00,5
2019-08-05 16:27:00,6
2019-08-05 16:28:00,6
2019-08-05 16:29:00,6
2019-08-05 16:30:00,6
2019-08-05 16:31:00,6
2019-08-05 16:32:00,6
2019-08-05 16:33:00,6
2019-08-05 16:34:00,6
2019-08-05 16:35:00,6
2019-08-05 16:36:00,6
2019-08-05 16:37:00,5
2019-08-05 16:38:00,6
2019-08-05 16:39:00,6
2019-08-05 16:40:00,6
2019-08-05 16:41:00,6
2019-08-05 16:42:00,6
2019-08-05 16:43:00,2
2019-08-05 17:57:00,1
2019-08-05 18:08:00,1
2019-10-03 15:55:00,5
2019-10-03 15:56:00,6
2019-10-03 15:57:00,6
2019-10-03 15:58:00,5
