62,"SELECT STR (z, #, #) z, ra, dec FROM SpecObj WHERE specClass = # AND dec BETWEEN # AND # AND ra BETWEEN # AND # AND z BETWEEN # AND #"
2019-03-14 23:19:00,2
2019-03-14 23:20:00,1
2019-03-21 23:05:00,1
2019-03-21 23:06:00,1
2019-03-21 23:07:00,1
2019-03-21 23:08:00,2
2019-03-21 23:10:00,1
2019-03-21 23:11:00,3
2019-03-21 23:12:00,1
2019-03-21 23:13:00,1
2019-03-21 23:16:00,1
2019-03-21 23:20:00,1
2019-03-21 23:21:00,1
2019-03-21 23:22:00,1
2019-03-21 23:23:00,5
2019-03-21 23:26:00,1
2019-03-22 00:52:00,1
2019-03-22 00:54:00,4
2019-03-22 00:55:00,2
2019-03-22 00:56:00,1
2019-03-22 00:58:00,2
2019-03-22 01:00:00,3
2019-03-22 01:01:00,2
2019-03-22 01:03:00,1
2019-03-22 01:04:00,2
2019-03-22 01:05:00,1
2019-03-22 01:07:00,1
2019-03-22 01:08:00,1
2019-03-22 01:11:00,4
2019-03-22 01:12:00,1
2019-03-25 19:56:00,1
2019-04-03 00:45:00,3
2019-04-03 00:46:00,2
2019-04-22 23:43:00,1
2019-04-22 23:44:00,1
2019-04-22 23:45:00,1
2019-05-05 22:54:00,1
2019-05-05 22:55:00,1
2019-05-05 23:10:00,1
