3,"SELECT p.ra, p.dec, f.mjd_i, f.mjd_u, f.mjd_g, f.mjd_r, f.mjd_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.objID, p.modelMagErr_i, p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_z FROM photoObj p JOIN field f ON p.fieldid = f.fieldid WHERE f.mjd_i ! = # /*AND f.mjd_i BETWEEN # AND #*/ AND p.type = # /*AND p.psfMag_i - p.cmodelMag_i > #*/ AND p.ra BETWEEN # AND # AND p.dec BETWEEN -.# AND -.# AND ( (p.flags & #) ! = #) AND ( (p.flags & #) = #) AND ( (p.flags & #) = #) AND ( ((p.flags & #) = #) or (flags_r & #) = #) AND ( (p.flags & #) ) = # AND (p.flags & #) = # AND ( ((p.flags & #) ) = # or psfmagerr_r < = #) AND (p.flags & #) = # --/ not PSF_FLUX_INTERP AND (flags_r & #) = # --/ not BAD_COUNTS_ERROR AND ( (flags_r & #) = # OR (flags_r & #) = #) AND (flags_r & #) ! = # --/ BINNED1 AND (flags_r & #) = # --/ not SATURATED AND (flags_r & #) = # --/ not NOPROFILE AND p.clean = # ORDER BY f.mjd_i"
2019-08-30 13:41:00,2
2019-08-30 13:42:00,1
