2,"select top # s.specobjid, s.bestobjid, s.firstrelease, s.survey, s.sourcetype, p.ra, p.dec, s.z, s.zErr, p.modelMag_g from Specobj as s join Photoobj as p on p.objid = s.bestobjid where s.class = # AND s.zwarning = # AND s.sourceType = #"
2019-11-26 08:29:00,1
2019-11-26 09:10:00,1
