3,"SELECT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND s.class = #"
2019-12-19 06:47:00,1
2019-12-19 06:49:00,1
2019-12-19 07:27:00,1
