242,"SELECT TOP # p.objid, p.specobjid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, n.distance AS offset, pz.z AS redshift, pz.zErr AS redshift_err, p.expRad_r FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID LEFT JOIN Photoz pz ON pz.objID = p.objID ORDER BY offset"
2019-02-28 01:24:00,1
2019-02-28 02:17:00,3
2019-02-28 02:19:00,1
2019-02-28 02:24:00,2
2019-02-28 02:28:00,2
2019-02-28 02:29:00,3
2019-02-28 02:31:00,3
2019-02-28 02:39:00,2
2019-02-28 02:40:00,2
2019-02-28 02:43:00,3
2019-02-28 02:44:00,3
2019-02-28 02:46:00,3
2019-02-28 02:47:00,3
2019-02-28 02:51:00,3
2019-02-28 03:10:00,4
2019-02-28 03:27:00,3
2019-02-28 03:28:00,3
2019-02-28 03:30:00,2
2019-02-28 03:31:00,4
2019-02-28 03:32:00,1
2019-02-28 03:33:00,3
2019-02-28 17:09:00,7
2019-02-28 17:10:00,10
2019-02-28 17:11:00,6
2019-02-28 17:12:00,7
2019-02-28 17:13:00,8
2019-02-28 17:14:00,8
2019-02-28 17:15:00,7
2019-02-28 17:16:00,7
2019-02-28 17:17:00,9
2019-02-28 17:18:00,9
2019-02-28 17:19:00,6
2019-02-28 17:20:00,8
2019-02-28 17:21:00,1
2019-02-28 17:25:00,5
2019-02-28 17:26:00,10
2019-02-28 17:38:00,4
2019-02-28 17:39:00,2
2019-02-28 17:44:00,3
2019-02-28 17:45:00,3
2019-05-01 01:07:00,34
2019-05-01 01:08:00,16
2019-05-01 01:10:00,18
