5,"SELECT g.* INTO companion FROM lrgs as g, LRGs_X as x WHERE sqrt ((g.ra-x.ra) ^#+ (g.dec-x.dec) ^#) < # and abs (g.z-x.z) < # ORDER BY g.objID"
2019-03-09 08:18:00,2
2019-03-09 08:25:00,2
2019-03-09 08:26:00,1
