2,"SELECT TOP # psfFlux_g, psfFlux_r, psfFlux_z, ra, dec FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-05-22 15:06:00,1
2019-05-22 15:12:00,1
