5,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec FROM ..PhotoObj AS p WHERE (p.type = # OR p.type = #)"
2019-07-05 21:30:00,2
2019-07-07 01:14:00,1
2019-07-07 01:15:00,1
2019-10-09 12:09:00,1
