16,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.petrorad_r, s.z from photoObj p join dbo.fgetnearbyobjeq (#, #, #) n on p.objid = n.objid join specObj s on p.objid = s.bestobjid where p.petrorad_r > # and p.r < # and s.Class = # and s.z > = #"
2019-01-20 01:50:00,1
2019-01-20 02:35:00,1
2019-01-20 02:37:00,1
2019-01-20 02:38:00,2
2019-01-20 03:12:00,1
2019-01-20 03:13:00,1
2019-02-01 15:39:00,1
2019-02-01 15:40:00,1
2019-02-01 15:56:00,1
2019-02-01 20:26:00,1
2019-02-04 15:12:00,1
2019-02-14 13:44:00,1
2019-05-21 18:36:00,1
2019-05-28 18:30:00,1
2019-06-08 10:45:00,1
