3,"SELECT TOP # objid, type AS name, ra, dec FROM PhotoObj WHERE score > # AND u BETWEEN # AND # AND g BETWEEN # AND # ORDER BY field"
2019-07-31 18:21:00,2
2019-07-31 18:55:00,1
