2722,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.type = # AND p.u between # AND #"
2019-10-09 18:30:00,3
2019-10-09 18:31:00,3
2019-10-09 18:32:00,3
2019-10-09 18:33:00,3
2019-10-09 18:35:00,34
2019-10-09 18:36:00,109
2019-10-09 18:37:00,205
2019-10-09 18:41:00,314
2019-10-09 20:57:00,314
2019-10-09 21:09:00,266
2019-10-09 21:10:00,48
2019-10-10 14:51:00,3
2019-10-10 14:52:00,227
2019-10-10 14:54:00,35
2019-10-10 14:55:00,195
2019-10-10 15:07:00,230
2019-10-10 15:08:00,17
2019-10-10 15:09:00,15
2019-10-10 15:10:00,8
2019-10-10 15:11:00,230
2019-10-10 17:15:00,73
2019-10-10 17:16:00,157
2019-11-14 17:37:00,173
2019-11-14 17:38:00,57
