101,select objid from photoobjall where photoobjall.dec between -.# and .# and photoobjall.ra between # and #
2019-02-26 23:11:00,1
2019-02-27 03:21:00,1
2019-02-27 15:12:00,6
2019-02-27 17:50:00,3
2019-02-27 17:51:00,1
2019-03-06 16:54:00,5
2019-03-06 16:55:00,2
2019-03-06 16:56:00,1
2019-03-06 17:49:00,1
2019-03-06 17:50:00,1
2019-03-06 19:26:00,1
2019-03-06 19:37:00,1
2019-03-06 19:42:00,2
2019-03-06 19:46:00,1
2019-03-06 19:53:00,1
2019-03-06 19:57:00,1
2019-03-06 22:33:00,1
2019-03-06 22:34:00,1
2019-03-06 23:56:00,1
2019-03-07 00:07:00,1
2019-03-07 00:11:00,1
2019-03-07 00:13:00,1
2019-03-07 00:15:00,1
2019-03-07 00:31:00,1
2019-03-07 00:34:00,1
2019-03-07 01:14:00,2
2019-03-07 01:16:00,1
2019-03-07 01:19:00,1
2019-03-07 01:25:00,1
2019-03-07 01:28:00,1
2019-03-07 01:49:00,1
2019-03-07 02:01:00,1
2019-03-07 02:05:00,1
2019-03-07 02:20:00,1
2019-03-07 02:21:00,1
2019-03-07 02:40:00,1
2019-03-07 04:19:00,1
2019-03-07 04:29:00,1
2019-03-07 07:20:00,2
2019-03-07 12:48:00,1
2019-03-07 12:49:00,1
2019-03-07 12:56:00,1
2019-03-07 13:00:00,1
2019-03-12 20:41:00,2
2019-03-12 20:42:00,2
2019-03-12 20:58:00,1
2019-03-13 23:08:00,2
2019-03-13 23:33:00,1
2019-03-14 04:20:00,1
2019-03-14 06:19:00,1
2019-03-14 06:20:00,2
2019-03-14 06:21:00,7
2019-03-14 06:22:00,1
2019-03-14 06:23:00,3
2019-03-14 06:24:00,2
2019-03-14 06:25:00,2
2019-03-14 06:26:00,10
2019-03-14 13:08:00,1
2019-03-14 13:14:00,1
2019-03-14 13:15:00,1
2019-03-14 13:18:00,1
2019-03-14 13:25:00,1
2019-03-14 13:27:00,1
