22,"select distinct top # star.ra, star.dec, #* (star.ra - plate.racen) /cos (plate.deccen*PI () /#) as x, #* (star.dec - plate.deccen) as y, obj.j as mag from apogeestar as star, apogeeObject as obj, apogeePlate as plate where obj.target_id = star.target_id and plate.location_id = star.location_id and plate.plate = # order by mag"
2019-10-03 06:42:00,1
2019-10-04 14:26:00,1
2019-10-04 14:27:00,1
2019-10-04 14:31:00,3
2019-10-05 15:16:00,1
2019-10-07 11:45:00,1
2019-10-07 11:52:00,1
2019-10-07 12:02:00,1
2019-10-09 13:41:00,2
2019-10-22 13:20:00,1
2019-10-22 13:26:00,1
2019-11-02 16:24:00,1
2019-12-31 11:00:00,2
2019-12-31 11:02:00,1
2019-12-31 11:42:00,1
2019-12-31 11:51:00,2
2019-12-31 11:57:00,1
