107,"select ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and # AND class = #"
2019-01-06 14:54:00,1
2019-01-13 15:18:00,1
2019-01-17 16:18:00,1
2019-01-30 15:58:00,1
2019-02-07 19:14:00,2
2019-02-09 18:03:00,2
2019-02-18 23:37:00,1
2019-02-20 18:43:00,1
2019-02-20 18:54:00,1
2019-03-03 17:18:00,1
2019-03-05 19:14:00,1
2019-03-05 19:26:00,1
2019-03-11 08:24:00,1
2019-03-22 20:21:00,1
2019-03-22 20:22:00,4
2019-03-24 18:07:00,1
2019-04-09 17:11:00,3
2019-04-09 17:12:00,1
2019-04-09 17:19:00,2
2019-04-09 17:20:00,1
2019-04-12 11:23:00,1
2019-04-16 02:17:00,1
2019-04-30 05:42:00,1
2019-05-07 13:11:00,1
2019-05-29 15:07:00,1
2019-06-06 09:53:00,1
2019-06-08 15:25:00,1
2019-06-10 14:32:00,2
2019-06-11 15:56:00,1
2019-06-12 01:15:00,3
2019-06-12 01:16:00,6
2019-06-12 03:36:00,1
2019-06-12 03:37:00,2
2019-06-12 11:38:00,1
2019-06-15 10:01:00,1
2019-06-19 20:54:00,1
2019-06-19 20:56:00,1
2019-06-20 15:12:00,5
2019-06-24 10:26:00,1
2019-06-25 01:40:00,1
2019-06-25 06:36:00,1
2019-06-26 11:13:00,1
2019-06-26 13:50:00,1
2019-06-27 15:08:00,2
2019-07-07 17:22:00,1
2019-07-09 11:57:00,1
2019-07-09 11:58:00,2
2019-07-18 09:17:00,1
2019-07-23 10:13:00,1
2019-07-23 10:14:00,1
2019-07-25 05:18:00,1
2019-07-25 09:02:00,3
2019-07-25 09:03:00,1
2019-07-25 09:04:00,1
2019-07-25 09:05:00,1
2019-07-25 19:12:00,1
2019-07-31 18:31:00,1
2019-08-22 23:38:00,1
2019-09-02 16:06:00,1
2019-09-20 15:02:00,1
2019-09-25 02:25:00,1
2019-09-27 15:30:00,1
2019-09-28 14:00:00,1
2019-09-28 21:40:00,2
2019-09-28 21:41:00,1
2019-10-06 18:40:00,1
2019-10-26 10:16:00,2
2019-10-26 10:17:00,2
2019-11-14 04:05:00,1
2019-11-14 06:09:00,1
2019-11-14 06:14:00,2
2019-12-11 08:02:00,1
2019-12-11 08:03:00,2
2019-12-12 12:02:00,1
2019-12-17 15:46:00,2
2019-12-31 20:58:00,1
